,secid,cname,cname_norm,nn_match,nn_score,nn_gvkey,nn_coname
611,4163,GENZYME CORP,genzyme,genzyme,100,12233.0,GENZYME CORP
612,338,AFFYMETRIX INC,affymetrix,affymetrix,100,62990.0,AFFYMETRIX INC
613,1360,BIO RAD LABORATORIES INC,bioradlaboratories,bioradlaboratories,100,2220.0,BIO-RAD LABORATORIES INC
614,24743,FOUNDRY NETWORKS INC,foundrynetworks,foundrynetworks,100,124319.0,FOUNDRY NETWORKS INC
615,10523,AMEDISYS INC,amedisys,amedisys,100,30612.0,AMEDISYS INC
616,327,ADVANCED ENERGY INDUSTRIES INC,advancedenergyindustries,advancedenergyinds,86,61562.0,ADVANCED ENERGY INDS INC
617,5727,LINEAR TECHNOLOGY CORP,lineartechnology,lineartechnology,100,12216.0,LINEAR TECHNOLOGY CORP
618,11094,NCR CORP,ncr,ncr,100,7648.0,NCR CORP
619,3899,FTI CONSULTING INC,fticonsulting,fticonsulting,100,62823.0,FTI CONSULTING INC
620,5492,KOMAG INC,komag,komag,100,13369.0,KOMAG INC
621,908,ARTHROCARE CORP,arthrocare,arthrocare,100,61996.0,ARTHROCARE CORP
622,7111,PPG INDUSTRIES INC,ppgindustries,ppgindustries,100,8247.0,PPG INDUSTRIES INC
623,5885,MACROMEDIA INC,macromedia,macromedia,100,29381.0,MACROMEDIA INC
624,21407,SALIX PHARMACEUTICALS LTD,salixpharmaceuticals,osipharmaceuticals,89,12180.0,OSI PHARMACEUTICALS INC
625,834,APPLIED SIGNAL TECHNOLOGY INC,appliedsignaltechnology,appliedsignaltechnology,100,27997.0,APPLIED SIGNAL TECHNOLOGY
626,12503,RF MICRO DEVICES INC,rfmicrodevices,advancedmicrodevices,71,1161.0,ADVANCED MICRO DEVICES
627,14084,TYCO INTERNATIONAL LTD SWITZERLAND,tycointernationalltdswitzerland,tycointernational,71,10787.0,TYCO INTERNATIONAL PLC
628,6800,NORTEL NETWORKS CORP,nortelnetworks,nortelnetworks,100,7980.0,NORTEL NETWORKS CORP
629,10422,HAYES LEMMERZ INTERNATIONAL INC NEW,hayeslemmerzinternationalincnew,haynesinternational,72,23587.0,HAYNES INTERNATIONAL INC
630,6037,MCAFEE INC,mcafee,mcafee,100,25783.0,MCAFEE INC
631,195,AVX CORP,avx,avx,100,1072.0,AVX CORP
632,2083,CHECKPOINT SYSTEMS INC,checkpointsystems,checkpointsystems,100,2953.0,CHECKPOINT SYSTEMS INC
633,8769,STERIS CORP,steris,steris,100,25313.0,STERIS PLC
634,2084,CHEESECAKE FACTORY INC,cheesecakefactory,cheesecakefactory,100,25737.0,CHEESECAKE FACTORY INC
635,28414,NETGEAR INC,netgear,netgear,100,154039.0,NETGEAR INC
636,2629,CREDENCE SYSTEMS CORP,credencesystems,credencesystems,100,29085.0,CREDENCE SYSTEMS CORP
637,2443,COMTECH TELECOMMUNICATIONS CORP,comtechtelecommunications,octelcommunications,86,14264.0,OCTEL COMMUNICATIONS CORP
638,6010,MATTEL INC,mattel,mattel,100,7116.0,MATTEL INC
639,7171,PALL CORP,pall,pall,100,8304.0,PALL CORP
640,5908,MAGNETEK INC,magnetek,magnetek,100,12581.0,MAGNETEK INC
641,9140,TERADYNE INC,teradyne,teradyne,100,10453.0,TERADYNE INC
642,8055,ROSS STORES INC,rossstores,rossstores,100,9248.0,ROSS STORES INC
643,7478,PLAYTEX PRODUCTS INC,playtexproducts,playtexproducts,100,14470.0,PLAYTEX PRODUCTS INC
644,8273,MERCK & CO INC NEW,merckcoincnew,merckcompany,64,7257.0,MERCK & CO
645,4401,GTECH HOLDINGS CORP,gtechholdings,gtechholdings,100,25807.0,GTECH HOLDINGS CORP
646,23012,ENTRUST INC MD,entrustincmd,entrust,74,113609.0,ENTRUST INC
647,2984,DIODES INC,diodes,diodes,100,3969.0,DIODES INC
648,5614,LATTICE SEMICONDUCTOR CORP,latticesemiconductor,latticesemiconductor,100,16597.0,LATTICE SEMICONDUCTOR CORP
649,7873,REGAL BELOIT CORP,regalbeloit,regalrexnord,61,9016.0,REGAL REXNORD CORPORATION
650,9657,UNIVERSAL ELECTRONICS INC,universalelectronics,universalelectronics,100,27828.0,UNIVERSAL ELECTRONICS INC
651,22728,KING PHARMACEUTICALS INC,kingpharmaceuticals,kingpharmaceuticals,100,112033.0,KING PHARMACEUTICALS INC
652,5129,INTERMAGNETICS GENERAL CORP,intermagneticsgeneral,intermagneticsgeneral,100,6039.0,INTERMAGNETICS GENERAL CORP
653,25804,ENDO PHARMACEUTICALS HOLDINGS INC,endopharmaceuticalsholdings,parpharmaceutclhldgs,72,8333.0,PAR PHARMACEUTCL HLDGS -REDH
654,9965,WATTS WATER TECHNOLOGIES INC,wattswatertechnologies,wattswatertechnologies,100,12445.0,WATTS WATER TECHNOLOGIES INC
655,27807,SRA INTERNATIONAL INC,srainternational,srainternational,100,147660.0,SRA INTERNATIONAL INC
656,6577,NATIONAL INSTRUMENTS CORP,nationalinstruments,texasinstruments,74,10499.0,TEXAS INSTRUMENTS INC
657,28169,SEAGATE TECHNOLOGY NEW,seagatetechnologynew,seagatetechnologyold,85,9545.0,SEAGATE TECHNOLOGY-OLD
658,863,ARCTIC CAT INC,arcticcat,arcticcat,100,22461.0,ARCTIC CAT INC
659,9636,UNITED STATIONERS INC,unitedstationers,unitedstatessteel,73,23978.0,UNITED STATES STEEL CORP
660,2468,CONMED CORP,conmed,conmed,100,13623.0,CONMED CORP
661,7332,PERRIGO CO,perrigocompany,perrigocompany,100,24782.0,PERRIGO CO PLC
662,5546,LA Z BOY INC,lazboy,lazboy,100,6543.0,LA-Z-BOY INC
663,7542,PRECISION CASTPARTS CORP,precisioncastparts,precisioncastparts,100,8717.0,PRECISION CASTPARTS CORP
664,1570,BUCKEYE TECHNOLOGIES INC,buckeyetechnologies,buckeyetechnologies,100,61596.0,BUCKEYE TECHNOLOGIES INC
665,10376,NATIONAL OILWELL VARCO INC,nationaloilwellvarco,nationalfuelgascompany,62,7733.0,NATIONAL FUEL GAS CO
666,26321,IXIA,ixia,ixia,100,140759.0,IXIA
667,7176,PALOMAR MEDICAL TECHNOLOGIES INC,palomarmedicaltechnologies,palomarmedtechnologies,92,26038.0,PALOMAR MED TECHNOLOGIES INC
668,1564,BRUNSWICK CORP,brunswick,brunswick,100,2444.0,BRUNSWICK CORP
669,1523,BRIGGS & STRATTON CORP,briggsstratton,briggsstratton,100,2393.0,BRIGGS & STRATTON
670,6041,MCDERMOTT INTERNATIONAL INC,mcdermottinternational,cameroninternational,81,60894.0,CAMERON INTERNATIONAL CORP
671,2454,CONCORD CAMERA CORP,concordcamera,concordcamera,100,14808.0,CONCORD CAMERA CORP
672,10015,WEST PHARMACEUTICAL SERVICES INC,westpharmaceuticalservices,westpharmaceuticalsvsc,88,11376.0,WEST PHARMACEUTICAL SVSC INC
673,25104,INFONET SERVICES CORP,infonetservices,intervoice,72,6152.0,INTERVOICE INC
674,2540,COPART INC,copart,copart,100,29901.0,COPART INC
675,1100,BMC SOFTWARE INC,bmcsoftware,bmcsoftware,100,14650.0,BMC SOFTWARE INC
676,4719,HOME DEPOT INC,homedepot,homedepot,100,5680.0,HOME DEPOT INC
677,3518,FLIR SYSTEMS INC,flirsystems,flirsystems,100,28477.0,FLIR SYSTEMS INC
678,7008,ORBITAL SCIENCES CORP,orbitalsciences,orbitalsciences,100,21496.0,ORBITAL SCIENCES CORP
679,4464,HAEMONETICS CORP,haemonetics,haemonetics,100,24021.0,HAEMONETICS CORP
680,8951,SYNOPSYS INC,synopsys,synopsys,100,24975.0,SYNOPSYS INC
681,24907,AKAMAI TECHNOLOGIES INC,akamaitechnologies,akamaitechnologies,100,125595.0,AKAMAI TECHNOLOGIES INC
682,10098,WILLIAMS SONOMA INC,williamssonoma,williamssonoma,100,11511.0,WILLIAMS-SONOMA INC
683,13406,METTLER TOLEDO INTERNATIONAL INC,mettlertoledointernational,mettlertoledointl,79,65772.0,METTLER-TOLEDO INTL INC
684,6656,NETWORK APPLIANCE INC,networkappliance,networksolutions,62,65488.0,NETWORK SOLUTIONS INC
685,8218,SANDISK CORP,sandisk,sandisk,100,61513.0,SANDISK CORP
686,9363,TREDEGAR CORP,tredegar,tredegar,100,15459.0,TREDEGAR CORP
687,8565,SONIC SOLUTIONS,sonicsolutions,sonicsolutions,100,29709.0,SONIC SOLUTIONS
688,1509,CHRISTOPHER & BANKS CORP,christopherbanks,christopherbanks,100,25108.0,CHRISTOPHER & BANKS CORP
689,10688,VIASAT INC,viasat,viasat,100,64088.0,VIASAT INC
690,8449,SIGMA DESIGNS INC,sigmadesigns,sigmadesigns,100,12234.0,SIGMA DESIGNS INC
691,27484,SYNAPTICS INC,synaptics,synaptics,100,142814.0,SYNAPTICS INC
692,23625,SERENA SOFTWARE INC,serenasoftware,serenasoftware,100,118321.0,SERENA SOFTWARE INC
693,24507,GENENTECH INC,genentech,genentech,100,5020.0,GENENTECH INC
694,7035,OSHKOSH CORP,oshkosh,oshkosh,100,11721.0,OSHKOSH CORP
695,7204,PTC INC,ptc,ptc,100,18699.0,PTC INC
696,3044,ASCENA RETAIL GROUP INC,ascenaretailgroup,ascenaretailgroup,100,4072.0,ASCENA RETAIL GROUP INC
697,11921,NEOMAGIC CORP,neomagic,neomagic,100,64485.0,NEOMAGIC CORP
698,2492,BIGLARI HOLDINGS INC,biglariholdings,biglariholdings,100,3424.0,BIGLARI HOLDINGS INC
699,24930,PACTIV CORP,pactiv,pactiv,100,125533.0,PACTIV CORP
700,6902,OCEANEERING INTERNATIONAL INC,oceaneeringinternational,oceaneeringinternational,100,8079.0,OCEANEERING INTERNATIONAL
701,24351,DITECH NETWORKS INC,ditechnetworks,ditechnetworks,100,121153.0,DITECH NETWORKS INC
702,9449,TYSON FOODS INC,tysonfoods,tysonfoodsinc,87,10793.0,TYSON FOODS INC  -CL A
703,624,AMERICAN MANAGEMENT SYSTEMS INC,americanmanagementsystems,americanmanagementsystems,100,1500.0,AMERICAN MANAGEMENT SYSTEMS
704,7574,COSTCO WHOLESALE CORP NEW,costcowholesalecorpnew,costcowholesale,81,29028.0,COSTCO WHOLESALE CORP
705,668,AMERICAN SCIENCE & ENGINEERING INC,americanscienceengineering,americangreetings,65,1468.0,AMERICAN GREETINGS  -CL A
706,27317,VIASYS HEALTHCARE INC,viasyshealthcare,viasyshealthcare,100,145854.0,VIASYS HEALTHCARE INC
707,5272,J & J SNACK FOODS CORP,jjsnackfoods,jjsnackfoods,100,12825.0,J & J SNACK FOODS CORP
708,7418,PIER 1 IMPORTS INC,pier1imports,pier1importsincde,83,8579.0,PIER 1 IMPORTS INC/DE
709,3565,FAMILY DOLLAR STORES INC,familydollarstores,familydollarstores,100,4560.0,FAMILY DOLLAR STORES
710,359,AIR PRODUCTS & CHEMICALS INC,airproductschemicals,airproductschemicals,100,1209.0,AIR PRODUCTS & CHEMICALS INC
711,2874,EBIX INC,ebix,zix,57,16531.0,ZIX CORP
712,23030,SCOLR PHARMA INC,scolrpharma,scielepharma,78,135986.0,SCIELE PHARMA INC
713,26105,J M SMUCKER CO,jmsmuckercompany,smuckerjmcompany,88,9777.0,SMUCKER (JM) CO
714,3689,FIRST CASH FINANCIAL SERVICES INC,firstcashfinancialservices,hartfordfinancialservices,75,61739.0,HARTFORD FINANCIAL SERVICES
715,2278,COHERENT INC,coherent,coherent,100,3157.0,COHERENT INC
716,3185,EASTMAN CHEMICAL CO,eastmanchemicalcompany,eastmanchemicalcompany,100,29392.0,EASTMAN CHEMICAL CO
717,10734,ROCKWELL AUTOMATION INC,rockwellautomation,rockwellautomation,100,9203.0,ROCKWELL AUTOMATION
718,8513,A O SMITH CORP,aosmith,smithao,71,9771.0,SMITH (A.O.)
719,12082,TAKE TWO INTERACTIVE SOFTWARE INC,taketwointeractivesoftware,taketwointeractivesftwr,94,64630.0,TAKE-TWO INTERACTIVE SFTWR
720,7774,RPM INTERNATIONAL INC,rpminternational,rpminternational,100,8902.0,RPM INTERNATIONAL INC
721,7712,QUAKER CHEMICAL CORP,quakerchemical,archchemicals,74,117862.0,ARCH CHEMICALS INC
722,5863,MSC INDUSTRIAL DIRECT CO INC,mscindustrialdirectcompany,mscindustrialdirect,84,61732.0,MSC INDUSTRIAL DIRECT  -CL A
723,9729,VALSPAR CORP,valspar,valspar,100,11096.0,VALSPAR CORP
724,8818,STRYKER CORP,stryker,stryker,100,10115.0,STRYKER CORP
725,862,ARCHER DANIELS MIDLAND CO,archerdanielsmidlandcompany,archerdanielsmidlandcompany,100,1722.0,ARCHER-DANIELS-MIDLAND CO
726,10412,AWARE INC,aware,aware,100,63454.0,AWARE INC
727,4130,GENESCO INC,genesco,genesco,100,5109.0,GENESCO INC
728,9856,VITESSE SEMICONDUCTOR CORP,vitessesemiconductor,vitessesemiconductor,100,24803.0,VITESSE SEMICONDUCTOR CORP
729,831,ACTUANT CORP,actuant,alcan,67,1243.0,ALCAN INC
730,1495,BOYD GAMING CORP,boydgaming,boydgaming,100,29011.0,BOYD GAMING CORP
731,3113,PERKINELMER INC,perkinelmer,perkinelmer,100,4145.0,PERKINELMER INC
732,375,AKORN INC,akorn,aon,75,3221.0,AON PLC
733,8419,SHERWIN WILLIAMS CO,sherwinwilliamscompany,sherwinwilliamscompany,100,9667.0,SHERWIN-WILLIAMS CO
734,5422,KEMET CORP,kemet,kemet,100,25848.0,KEMET CORP
735,24424,STAMPS COM INC,stampscom,stampscom,100,121673.0,STAMPS.COM INC
736,5939,MANPOWERGROUP INC,manpowergroup,manpowergroup,100,14370.0,MANPOWERGROUP
737,6135,MENTOR GRAPHICS CORP,mentorgraphics,mentorgraphics,100,7251.0,MENTOR GRAPHICS CORP
738,11761,RADIANT SYSTEMS INC,radiantsystems,radiantsystems,100,64383.0,RADIANT SYSTEMS INC
739,7721,QUALITY SYSTEMS INC,qualitysystems,pliantsystems,74,28533.0,PLIANT SYSTEMS INC
740,7460,PLANAR SYSTEMS INC,planarsystems,planarsystems,100,29435.0,PLANAR SYSTEMS INC
741,19401,INGREDION INC,ingredion,ingredion,100,66016.0,INGREDION INC
742,5840,MGM RESORTS INTERNATIONAL,mgmresortsinternational,mgmresortsinternational,100,14418.0,MGM RESORTS INTERNATIONAL
743,4414,GUIDANT CORP,guidant,guidant,100,31166.0,GUIDANT CORP
744,4649,JACK HENRY & ASSOCIATES INC,jackhenryassociates,henryjackassociates,79,11811.0,HENRY (JACK) & ASSOCIATES
745,9044,TECH DATA CORP,techdata,techdata,100,12171.0,TECH DATA CORP
746,25402,UTSTARCOM HOLDINGS CORP,utstarcomholdings,utstarcomholdings,100,132525.0,UTSTARCOM HOLDINGS CORP
747,18939,YUM BRANDS INC,yumbrands,yumbrands,100,65417.0,YUM BRANDS INC
748,5936,MANITOWOC CO INC,manitowoccompany,manitowoccompany,100,6994.0,MANITOWOC CO
749,19778,VISUAL NETWORKS INC,visualnetworks,visualnetworks,100,66447.0,VISUAL NETWORKS INC
750,4652,HERCULES INC,hercules,hercules,100,5589.0,HERCULES INC
751,3889,JACK IN THE BOX INC DE,jackintheboxincde,jackinthebox,83,13092.0,JACK IN THE BOX INC
752,23733,VARIAN INC,varian,varian,100,119216.0,VARIAN INC
753,5737,LITTELFUSE INC DE,littelfuseincde,littelfuse,80,25747.0,LITTELFUSE INC
754,7743,QUIKSILVER INC,quiksilver,quiksilver,100,12868.0,QUIKSILVER INC
755,10367,TRIUMPH GROUP INC DE,triumphgroupincde,triumphgroup,83,63876.0,TRIUMPH GROUP INC
756,24413,CYBERSOURCE CORP,cybersource,cybersource,100,121656.0,CYBERSOURCE CORP
757,9201,THOMAS & BETTS CORP,thomasbetts,thomasbetts,100,10540.0,THOMAS & BETTS CORP
758,9678,UNOCAL CORP,unocal,unocal,100,11038.0,UNOCAL CORP
759,6535,NANOMETRICS INC,nanometrics,nanometrics,100,7682.0,NANOMETRICS INC
760,8907,SUPERTEX INC,supertex,supertex,100,10200.0,SUPERTEX INC
761,28941,SALESFORCE COM INC,salesforcecom,salesforce,87,157855.0,SALESFORCE INC
762,14045,FARO TECHNOLOGIES INC,farotechnologies,farotechnologies,100,65421.0,FARO TECHNOLOGIES INC
763,1540,BROADVISION INC,broadvision,broadvision,100,63099.0,BROADVISION INC
764,731,AMPHENOL CORP,amphenol,amphenol,100,14282.0,AMPHENOL CORP
765,2165,MILACRON INC,milacron,milacron,100,3041.0,MILACRON INC
766,9099,TELEFLEX INC,teleflex,teleflex,100,10407.0,TELEFLEX INC
767,5023,INNOVEX INC,innovex,innovex,100,5973.0,INNOVEX INC
768,6441,MOTOROLA SOLUTIONS INC,motorolasolutions,motorolasolutions,100,7585.0,MOTOROLA SOLUTIONS INC
769,5489,KOHL S CORP,kohls,kohls,100,25283.0,KOHL'S CORP
770,719,AMETEK INC NEW,ametekincnew,ametek,67,1598.0,AMETEK INC
771,608,WYETH,wyeth,wyeth,100,1478.0,WYETH
772,23756,EXTREME NETWORKS INC,extremenetworks,extremenetworks,100,119574.0,EXTREME NETWORKS INC
773,22757,MOODY S CORP,moodys,moodys,100,139665.0,MOODY'S CORP
774,29006,BLACKBAUD INC,blackbaud,blackbaud,100,260893.0,BLACKBAUD INC
775,3135,ESCO TECHNOLOGIES INC,escotechnologies,escotechnologies,100,23224.0,ESCO TECHNOLOGIES INC
776,3296,EMERSON ELECTRIC CO,emersonelectriccompany,emersonelectriccompany,100,4321.0,EMERSON ELECTRIC CO
777,7999,RITE AID CORP,riteaid,riteaid,100,9155.0,RITE AID CORP
778,5065,INTEGRAL SYSTEMS INC,integralsystems,integralsystems,100,22059.0,INTEGRAL SYSTEMS INC
779,4913,IMATION CORP,imation,materion,80,2448.0,MATERION CORP
780,22565,AXT INC,axt,axt,100,110760.0,AXT INC
781,28024,CONOCOPHILLIPS,conocophillips,conocophillips,100,8549.0,CONOCOPHILLIPS
782,9220,THREE FIVE SYSTEMS INC,threefivesystems,threefivesystems,100,21763.0,THREE-FIVE SYSTEMS INC
783,2714,CYTEC INDUSTRIES INC,cytecindustries,cytecindustries,100,29511.0,CYTEC INDUSTRIES INC
784,9900,WABASH NATIONAL CORP,wabashnational,wabashnational,100,24720.0,WABASH NATIONAL CORP
785,28868,NUVASIVE INC,nuvasive,nuvasive,100,264385.0,NUVASIVE INC
786,11743,BIOSITE INC,biosite,biosite,100,64375.0,BIOSITE INC
787,28509,LKQ CORP,lkq,lkq,100,155394.0,LKQ CORP
788,1395,BIOLASE INC,biolase,biolase,100,23291.0,BIOLASE INC
789,6933,OLIN CORP,olin,olin,100,8123.0,OLIN CORP
790,7468,EPICOR SOFTWARE CORP,epicorsoftware,epicorsoftware,100,25859.0,EPICOR SOFTWARE CORP -OLD
791,7493,POLARIS INDUSTRIES INC,polarisindustries,springsindustries,82,9963.0,SPRINGS INDUSTRIES  -CL A
792,2893,DENTSPLY INTERNATIONAL INC DE,dentsplyinternationalincde,dendriteinternational,72,60950.0,DENDRITE INTERNATIONAL INC
793,6147,MERCK & CO INC,merckcompany,merckcompany,100,7257.0,MERCK & CO
794,2113,BJ S RESTAURANTS INC,bjsrestaurants,bjsrestaurants,100,63739.0,BJ'S RESTAURANTS INC
795,5237,IOMEGA CORP,iomega,iomega,100,6169.0,IOMEGA CORP
796,8050,ROPER INDUSTRIES INC,roperindustries,cooperindustries,90,3497.0,COOPER INDUSTRIES PLC
797,5463,KINETIC CONCEPTS INC,kineticconcepts,cytokinetics,59,158563.0,CYTOKINETICS INC
798,22529,L 3 COMMUNICATIONS HOLDINGS INC,l3communicationsholdings,level3communications,73,13440.0,LEVEL 3 COMMUNICATIONS INC
799,1871,ALMOST FAMILY INC,almostfamily,almostfamily,100,13800.0,ALMOST FAMILY INC
800,2609,HEADWATERS INC,headwaters,headwaters,100,61576.0,HEADWATERS INC
801,2673,CUBIC CORP,cubic,chubb,60,,
802,737,ZIX CORP,zix,zix,100,16531.0,ZIX CORP
803,5428,KENSEY NASH CORP,kenseynash,kenseynash,100,61703.0,KENSEY NASH CORP
804,10459,UNITED NATURAL FOODS INC,unitednaturalfoods,unitednaturalfoods,100,63927.0,UNITED NATURAL FOODS INC
805,8528,SNAP ON INC,snapon,snapon,100,9778.0,SNAP-ON INC
806,29259,MONOLITHIC POWER SYSTEMS INC,monolithicpowersystems,monolithicpowersystems,100,160888.0,MONOLITHIC POWER SYSTEMS INC
807,29276,NEENAH PAPER INC,neenahpaper,neenah,71,162264.0,NEENAH INC
808,2746,J JILL GROUP INC,jjillgroup,jjillgroup,100,29105.0,J JILL GROUP INC
809,28851,HOSPIRA INC,hospira,hospira,100,160255.0,HOSPIRA INC
810,2977,DILLARD S INC,dillards,dillardsinc,84,3964.0,DILLARDS INC  -CL A
811,12800,COMMUNITY HEALTH SYSTEMS INC,communityhealthsystems,communityhealthsystems,100,23714.0,COMMUNITY HEALTH SYSTEMS INC
812,19041,PERICOM SEMICONDUCTOR CORP,pericomsemiconductor,pericomsemiconductor,100,65739.0,PERICOM SEMICONDUCTOR CORP
813,6390,MONARCH CASINO & RESORT INC,monarchcasinoresort,monarchcasinoresort,100,28704.0,MONARCH CASINO & RESORT INC
814,8968,TBC CORP NEW,tbccorpnew,nbtbancorp,60,19094.0,N B T BANCORP INC
815,5569,LAM RESEARCH CORP,lamresearch,lamresearch,100,6565.0,LAM RESEARCH CORP
816,3506,FEI CO,feicompany,feicompany,100,31881.0,FEI CO
817,9560,UNISYS CORP,unisys,unisys,100,2504.0,UNISYS CORP
818,8763,STEPAN CO,stepancompany,stepancompany,100,10056.0,STEPAN CO
819,4096,GENCORP INC,gencorp,xencor,77,18938.0,XENCOR INC
820,28949,CABELA S INC,cabelas,cabelas,100,264708.0,CABELAS INC
821,2826,DATASCOPE CORP,datascope,datascope,100,3786.0,DATASCOPE CORP
822,10052,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,westinghouseairbraketechnologies,powerhousetechnologies,70,24345.0,POWERHOUSE TECHNOLOGIES INC
823,1458,BOOKS A MILLION INC,booksamillion,booksamillion,100,25896.0,BOOKS-A-MILLION INC
824,7558,SIX FLAGS ENTERTAINMENT CORP NEW,sixflagsentertainmentcorpnew,sixflagsentertainment,86,10567.0,SIX FLAGS ENTERTAINMENT CORP
825,10176,XILINX INC,xilinx,xilinx,100,22325.0,XILINX INC
826,6714,NEWPORT CORP,newport,newport,100,7883.0,NEWPORT CORP
827,764,ANDERSONS INC,andersons,andersons,100,1659.0,ANDERSONS INC
828,9135,TENNANT CO,tennantcompany,tennantcompany,100,10441.0,TENNANT CO
829,5384,K2 INC,k2,k2,100,1677.0,K2 INC
830,24863,CIRCOR INTERNATIONAL INC,circorinternational,varcointernational,86,20993.0,VARCO INTERNATIONAL INC
831,9522,UNIFI INC,unifi,unifi,100,10839.0,UNIFI INC
832,25893,AVOCENT CORP,avocent,avocent,100,64397.0,AVOCENT CORP
833,1699,CTS CORP,cts,cts,100,2577.0,CTS CORP
834,9157,TEXAS INSTRUMENTS INC,texasinstruments,texasinstruments,100,10499.0,TEXAS INSTRUMENTS INC
835,27082,ZIMMER HOLDINGS INC,zimmerholdings,zimmerbiometholdings,82,144559.0,ZIMMER BIOMET HOLDINGS INC
836,27278,ODYSSEY HEALTHCARE INC,odysseyhealthcare,odysseyhealthcare,100,141847.0,ODYSSEY HEALTHCARE INC
837,9424,VARCO INTERNATIONAL INC DE,varcointernationalincde,varcointernational,88,20993.0,VARCO INTERNATIONAL INC
838,5147,INTERNATIONAL BUSINESS MACHINES CORP,internationalbusinessmachines,intlbusinessmachines,82,6066.0,INTL BUSINESS MACHINES CORP
839,27186,UNITED ONLINE INC,unitedonline,unitedonline,100,124198.0,UNITED ONLINE INC
840,437,ALLERGAN INC,allergan,allergan,100,,
841,2537,COOPER TIRE & RUBBER CO,coopertirerubbercompany,coopertirerubbercompany,100,3502.0,COOPER TIRE & RUBBER CO
842,1743,CALGON CARBON CORP,calgoncarbon,calgoncarbon,100,13406.0,CALGON CARBON CORP
843,5812,LYONDELL CHEMICAL CO,lyondellchemicalcompany,lyondellchemicalcompany,100,15110.0,LYONDELL CHEMICAL CO
844,10410,ANSYS INC,ansys,ansys,100,63080.0,ANSYS INC
845,24339,SKECHERS U S A INC,skechersusa,lechters,63,16454.0,LECHTERS INC
846,9207,THOR INDUSTRIES INC,thorindustries,thorindustries,100,10549.0,THOR INDUSTRIES INC
847,19010,DRIL QUIP INC,drilquip,drilquip,100,65671.0,DRIL-QUIP INC
848,8121,SCP POOL CORP,scppool,pool,73,61420.0,POOL CORP
849,10217,ZEBRA TECHNOLOGIES CORP,zebratechnologies,zebratechnologiescp,94,24405.0,ZEBRA TECHNOLOGIES CP  -CL A
850,7498,POLYCOM INC,polycom,polycom,100,62730.0,POLYCOM INC
851,5535,LSI CORP DE,lsicorpde,syncorintlcorpde,64,10238.0,SYNCOR INTL CORP/DE
852,4733,HON INDUSTRIES INC,honindustries,harmonindustries,90,9308.0,HARMON INDUSTRIES INC
853,3032,DOVER CORP,dover,dover,100,4058.0,DOVER CORP
854,9167,TEXTRON INC,textron,textron,100,10519.0,TEXTRON INC
855,5713,ELI LILLY & CO,elilillycompany,lillyelicompany,80,6730.0,LILLY (ELI) & CO
856,987,ATMEL CORP,atmel,atmel,100,23767.0,ATMEL CORP
857,4519,HARLEY DAVIDSON INC,harleydavidson,harleydavidson,100,12389.0,HARLEY-DAVIDSON INC
858,10206,YORK INTERNATIONAL CORP,yorkinternational,yorkinternational,100,13135.0,YORK INTERNATIONAL CORP
859,26948,FMC TECHNOLOGIES INC,fmctechnologies,fmctechnologies,100,142811.0,FMC TECHNOLOGIES INC
860,4288,GRACO INC,graco,graco,100,5252.0,GRACO INC
861,3519,FMC CORP,fmc,fmc,100,4510.0,FMC CORP
862,5793,LUBY S INC,lubys,lubys,100,6831.0,LUBYS INC
863,2657,CROWN HOLDINGS INC,crownholdings,crownholdings,100,3619.0,CROWN HOLDINGS INC
864,7279,J C PENNEY CO INC NEW,jcpenneycoincnew,consecofinance,60,5331.0,CONSECO FINANCE CORP
865,1266,BED BATH & BEYOND INC,bedbathbeyond,bedbathbeyond,100,25338.0,BED BATH & BEYOND INC
866,9777,AXSYS TECHNOLOGIES INC,axsystechnologies,axsystechnologies,100,11142.0,AXSYS TECHNOLOGIES INC
867,2935,DIAGNOSTIC PRODUCTS CORP,diagnosticproducts,diagnosticproducts,100,3917.0,DIAGNOSTIC PRODUCTS CORP
868,24862,PACKAGING CORP OF AMERICA,packagingcorpofamerica,packagingcorpofamerica,100,128978.0,PACKAGING CORP OF AMERICA
869,6622,NATURE S SUNSHINE PRODUCTS INC,naturessunshineproducts,naturessunshineprods,93,7799.0,NATURES SUNSHINE PRODS INC
870,27140,AMERISOURCEBERGEN CORP,amerisourcebergen,amerisourcebergen,100,31673.0,AMERISOURCEBERGEN CORP
871,9755,VEECO INSTRUMENTS INC DE,veecoinstrumentsincde,veecoinstruments,86,11124.0,VEECO INSTRUMENTS INC
872,5987,MARTEK BIOSCIENCES CORP,martekbiosciences,martekbiosciences,100,29278.0,MARTEK BIOSCIENCES CORP
873,25560,VALUECLICK INC,valueclick,valuehealth,57,23826.0,VALUE HEALTH INC
874,24531,J2 GLOBAL INC,j2global,joyglobal,82,13003.0,JOY GLOBAL INC
875,24790,OMNOVA SOLUTIONS INC,omnovasolutions,omnovasolutions,100,124254.0,OMNOVA SOLUTIONS INC
876,7320,PERFORMANCE FOOD GROUP CO,performancefoodgroupcompany,performancefoodgroupcompany,100,28787.0,PERFORMANCE FOOD GROUP CO
877,4759,HOT TOPIC INC,hottopic,hottopic,100,63621.0,HOT TOPIC INC
878,4155,GENUINE PARTS CO,genuinepartscompany,genuinepartscompany,100,5125.0,GENUINE PARTS CO
