,secid,cname,cname_norm,nn_match,nn_score,nn_gvkey,nn_coname
432,5326,SMURFIT STONE CONTAINER CORP,smurfitstonecontainer,smurfitstonecontainer,100,6242.0,SMURFIT-STONE CONTAINER CORP
433,447,ALLIANT TECHSYSTEMS INC,allianttechsystems,pliantsystems,77,28533.0,PLIANT SYSTEMS INC
434,6335,MINERALS TECHNOLOGIES INC,mineralstechnologies,mineralstechnologies,100,25870.0,MINERALS TECHNOLOGIES INC
435,3120,EMC CORP,emc,mci,67,1164.0,MCI INC
436,8026,ROCK TENN CO,rocktenncompany,hockeycompany,79,24743.0,HOCKEY CO
437,720,AMGEN INC,amgen,amgen,100,1602.0,AMGEN INC
438,9303,TRACTOR SUPPLY CO,tractorsupplycompany,tractorsupplycompany,100,29736.0,TRACTOR SUPPLY CO
439,9760,VENTANA MEDICAL SYSTEMS INC,ventanamedicalsystems,ventanamedicalsystem,98,63385.0,VENTANA MEDICAL SYSTEM INC
440,1727,CADENCE DESIGN SYSTEMS INC,cadencedesignsystems,cadencedesignsystems,100,13421.0,CADENCE DESIGN SYSTEMS INC
441,6040,MCCORMICK & CO INC,mccormickcompany,mccormickcompany,100,7146.0,MCCORMICK & CO INC
442,1045,AVON PRODUCTS INC,avonproducts,avonproducts,100,1920.0,AVON PRODUCTS
443,6133,MEN S WEARHOUSE INC,menswearhouse,chefswarehouse,74,186960.0,CHEFS' WAREHOUSE INC
444,10529,HIBBETT SPORTS INC,hibbettsports,bellsports,70,25154.0,BELL SPORTS CORP
445,7770,RTI INTERNATIONAL METALS INC,rtiinternationalmetals,tjinternational,76,10751.0,TJ INTERNATIONAL INC
446,9909,WAL MART STORES INC,walmartstores,walmart,70,11259.0,WALMART INC
447,7396,PHOTON DYNAMICS INC,photondynamics,photondynamics,100,61560.0,PHOTON DYNAMICS INC
448,523,AMCOL INTERNATIONAL CORP,amcolinternational,amcolinternational,100,14182.0,AMCOL INTERNATIONAL CORP
449,3658,FINISH LINE INC,finishline,finishlineinc,87,25357.0,FINISH LINE INC  -CL A
450,4897,IDEXX LABORATORIES INC,idexxlaboratories,impaxlaboratories,82,61745.0,IMPAX LABORATORIES INC
451,4526,HARMONIC INC,harmonic,harmonic,100,31843.0,HARMONIC INC
452,5131,INTERMET CORP,intermet,intermet,100,6044.0,INTERMET CORP
453,25760,STRATOS LIGHTWAVE INC,stratoslightwave,sterlingsoftware,62,10071.0,STERLING SOFTWARE INC
454,9169,THERAGENICS CORP,theragenics,theragenics,100,12691.0,THERAGENICS CORP
455,22989,DIGITAL RIVER INC,digitalriver,digitalriver,100,113362.0,DIGITAL RIVER INC
456,24864,PCTEL INC,pctel,pctel,100,125014.0,PCTEL INC
457,10429,SS&C TECHNOLOGIES INC,ssctechnologies,spstechnologies,93,9332.0,SPS TECHNOLOGIES INC
458,5339,JOHNSON & JOHNSON,johnsonjohnson,johnsonjohnson,100,6266.0,JOHNSON & JOHNSON
459,6914,OFFICE DEPOT INC,officedepot,homedepot,70,5680.0,HOME DEPOT INC
460,461,HONEYWELL INTERNATIONAL INC,honeywellinternational,honeywellinternational,100,1300.0,HONEYWELL INTERNATIONAL INC
461,26988,ROCKWELL COLLINS INC,rockwellcollins,rockwellcollins,100,144066.0,ROCKWELL COLLINS
462,5845,M I SCHOTTENSTEIN HOMES INC,mischottensteinhomes,southernenergyhomes,62,27930.0,SOUTHERN ENERGY HOMES INC
463,5869,MTS SYSTEMS CORP,mtssystems,mtssystems,100,6900.0,MTS SYSTEMS CORP
464,1910,CASH AMERICA INTERNATIONAL INC,cashamericainternational,cameroninternational,82,60894.0,CAMERON INTERNATIONAL CORP
465,12462,AMAZON COM INC,amazoncom,amoco,71,1609.0,AMOCO CORP
466,3615,FERRO CORP,ferro,ferro,100,4622.0,FERRO CORP
467,10131,WOLVERINE TUBE INC,wolverinetube,wolverinetube,100,14450.0,WOLVERINE TUBE INC
468,2708,QUESTCOR PHARMACEUTICALS INC,questcorpharmaceuticals,questcorpharmaceuticals,100,25906.0,QUESTCOR PHARMACEUTICALS INC
469,24421,JUNIPER NETWORKS INC,junipernetworks,junipernetworks,100,121718.0,JUNIPER NETWORKS INC
470,6743,NCT GROUP INC,nctgroup,nctgroup,100,19818.0,NCT GROUP INC
471,10751,LITHIA MOTORS INC,lithiamotors,lithiamotorsinc,89,64175.0,LITHIA MOTORS INC  -CL A
472,6161,MERIT MEDICAL SYSTEMS INC,meritmedicalsystems,meritmedicalsystems,100,21777.0,MERIT MEDICAL SYSTEMS INC
473,9879,VULCAN MATERIALS CO NEW,vulcanmaterialsconew,vulcanmaterialscompany,86,11228.0,VULCAN MATERIALS CO
474,22996,CONVERGYS CORP,convergys,convergys,100,113419.0,CONVERGYS CORP
475,3035,DOW CHEMICAL CO,dowchemicalcompany,arcochemicalcompany,86,14124.0,ARCO CHEMICAL CO
476,9744,VARIAN MEDICAL SYSTEMS INC,varianmedicalsystems,varianmedicalsystems,100,11115.0,VARIAN MEDICAL SYSTEMS INC
477,5413,KEITHLEY INSTRUMENTS INC,keithleyinstruments,keithleyinstruments,100,6370.0,KEITHLEY INSTRUMENTS INC
478,7443,PIONEER STANDARD ELECTRONICS INC,pioneerstandardelectronics,universalelectronics,70,27828.0,UNIVERSAL ELECTRONICS INC
479,6203,METHODE ELECTRONICS INC,methodeelectronics,methodeelectronics,100,7291.0,METHODE ELECTRONICS INC
480,9208,THORATEC CORP,thoratec,thoratec,100,10550.0,THORATEC CORP
481,5393,KAMAN CORP,kaman,kaman,100,6326.0,KAMAN CORP
482,4071,GARDNER DENVER INC,gardnerdenver,gartner,60,12441.0,GARTNER INC
483,27886,BIG 5 SPORTING GOODS CORP,big5sportinggoods,big5sportinggoods,100,145041.0,BIG 5 SPORTING GOODS CORP
484,7363,PFIZER INC,pfizer,pfizer,100,8530.0,PFIZER INC
485,899,ARROW ELECTRONICS INC,arrowelectronics,arrowelectronics,100,1773.0,ARROW ELECTRONICS INC
486,5510,KULICKE & SOFFA INDUSTRIES INC,kulickesoffaindustries,kulickesoffaindustries,100,6509.0,KULICKE & SOFFA INDUSTRIES
487,311,AEROFLEX INC,aeroflex,aeroflex,100,1056.0,AEROFLEX INC
488,7539,PRAXAIR INC,praxair,paxar,83,8293.0,PAXAR CORP
489,9850,VISX INC DE,visxincde,visxincde,100,14897.0,VISX INC/DE
490,9770,VERITAS DGC INC,veritasdgc,veritasdgc,100,3949.0,VERITAS DGC INC
491,578,AMERICAN EAGLE OUTFITTERS INC NEW,americaneagleoutfittersincnew,amerneagleoutfitters,82,30059.0,AMERN EAGLE OUTFITTERS INC
492,4109,GENERAL DYNAMICS CORP,generaldynamics,generaldynamics,100,5046.0,GENERAL DYNAMICS CORP
493,8935,SYMANTEC CORP,symantec,mastec,71,2497.0,MASTEC INC
494,23372,P F CHANG S CHINA BISTRO INC,pfchangschinabistro,pfchangschinabistro,100,116503.0,P F CHANGS CHINA BISTRO INC
495,6334,MINE SAFETY APPLIANCES CO,minesafetyappliancescompany,royalappliancemfgcompany,67,24382.0,ROYAL APPLIANCE MFG CO
496,24652,BLOUNT INTERNATIONAL INC,blountinternational,tjinternational,82,10751.0,TJ INTERNATIONAL INC
497,9869,VOLT INFORMATION SCIENCES INC,voltinformationsciences,voltinfosciences,82,11213.0,VOLT INFO SCIENCES INC
498,1362,BIO TECHNOLOGY GENERAL CORP,biotechnologygeneral,rubicontechnology,70,178865.0,RUBICON TECHNOLOGY INC
499,7934,RES CARE INC KY,rescareincky,careline,60,29454.0,CARELINE INC
